ID,TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
370,Ikkitousen Xtreme Xecutor,,,Japonés,12 + 6 OVA,1,Shounen / Acción / Ecchi,
371,Inari Kon Kon Koi Iruha,,,Japonés,10,1,Comedia / Romance / Fantasía / Slice of life,
372,Inazuma Eleven,,,Español / Japonés,127,7,Deportes / Acción / Fantasía,
373,Infinite Stratos,,,Japonés,12,1,Acción / Mechas / Sci-Fi / Ecchi,
374,Infinite Stratos 2,,,Japonés,12,1,Acción / Mechas / Sci-Fi / Ecchi,
375,Initial D,,,Español,26,2,Acción / Carreras de autos,
376,Initial D Fourth Stage,,,Japonés,24,2,Acción / Carreras de autos,
377,Initial D Second Stage,,,Español / Japonés,13,1,Acción / Carreras de autos,
378,Inou Battle wa Nichijou-kei no Naka,,,Japonés,12,1,Comedia / Aventura / Acción / Poderes / Romance,
379,Interlude,,,Japonés,3,1,Acción / Sobrenatural / Gore,
380,Interstella 5555,,,Inglés,Short Movie,1,Videos Musicales / Espacial / Aventura,
381,Inu to Hasami wa Tsukaiyou,,,Japonés,12,1,Comedia / Fantasía / Harem,
382,Inu X Boku SS,,,Japonés,12,1,Sobrenatural Romance / Ecchi,
383,Inuyasha,,,Español,167,10,Aventura / Romance / Fantasía / Sobrenatural,
384,Inuyasha Kanketsu-hen,,Segunda Temporada,Japonés,26,2,Aventura / Romance / Fantasía / Sobrenatural,
385,Inuyasha: El amor que trasciende en el timepo,,Película 1,Español / Japonés,Película,1,Aventura / Romance / Fantasía / Sobrenatural,
386,Inuyasha: El Castillo de los Sueños en el Espejo,,Película 2,Español / Japonés,Película,1,Aventura / Romance / Fantasía / Sobrenatural,
387,Inuyasha: Fuego en la Isla Mistica,,Película 4,Español / Japonés,Película,1,Aventura / Romance / Fantasía / Sobrenatural,
388,Inuyasha: La Espada Conquistadora,,Película 3,Español / Japonés,Película,1,Aventura / Romance / Fantasía / Sobrenatural,
389,"Irirya no Sora, UFO no natsu",,,Japonés,6,1,Drama / Comedia / Sci-Fi,
390,IRON MAN,,,Japonés,12,1,Acción,
391,Is it wrong to try to pick-up girls in a dungeon?,Danmachi | Dungeon ni deai wo motomeru no wa machigatteiru darou ka?,,Japonés,13,1,Acción / Fantasía / Romance / Ecchi,
392,Isshukan Friends,,,Japonés,11,1,Comedia / Slice of life,
393,Itazura na Kiss,,,Japonés,25,2,Romance / Drama / Comedia,
394,Ixion Saga,,,Japonés,26,2,Acción / Fantasía,
395,Jojo's Bizarre Adventures - Stardust Crusaders,,Tercera Saga,Japonés,25,2,,
396,Jormungand,,Primera Temporada,Japonés,12,1,,
397,Jormungand Perfect Order,,Segunda Temporada,Japonés,12,1,,
398,Junjou Romantica,,,Japonés,12,1,,
399,Junjou Romantica 2,,,Japonés,12,1,,
400,Junketsu no Maria,,,Japonés,12,1,,
401,K Project,,,Japonés,13,1,,
402,Kaichou wa Maid-sama,,,Japonés,26,2,,
403,Kaleido Star,,,Español / Japonés,49 + 3 Ova + Extras,5,,
404,Kami nomi zo Shiru Sekai,,Primera Temporada,Japonés,12,1,,
405,Kami nomi zo Shiru Sekai II,,Segunda Temporada,Japonés,12,1,,
406,Kami nomi zo shiru Sekai Megami Hen,,Tercera Temporada,Japonés,12 + OVA + 3 Especiales,1,,
407,Kamigami no Asobi,,,Japonés,13,1,,
408,Kamisama Hajimemashita,,,Japonés,13,1,,
409,Kamisama Hajimemashita 2,,Segunda Temporada,Japonés,12,1,,
410,Kamisama no memo-chou,,,Japonés,12,1,,
411,Kampfer,,Primera Temporada,Japonés,12,1,,
412,Kampfer Fur Die Liebe,,Segunda Temporada,Japonés,2 + 7 especiales,1,,
413,Kanokon,,,Japonés,12,1,,
414,Kanon,,,Japonés,24,2,,
415,Karas,,,Japonés,6 Películas,1,,
416,Kare Kano,Kareshi to Kanojo no Jijou,,Japonés,26,2,,
417,Karen Senki,,,Japonés,11,1,,
418,Karin,,,Japonés,25,2,,
419,Karneval,,,Japonés,13,1,,
420,Katekyo Hitman Reborn!,Reborn!,,Japonés,203 + OVA,1,,
421,Kaze no Stigma,,,Japonés,24,2,,
422,Kenichi,,,Español,50,3,,
423,Kenichi OVAS,,,Japonés,10,1,,
424,Kenzen Robo Daimidaler,,,Japonés,12,1,,
425,Kiba,,,Español,51,3,,
426,Kiki Entregas a Domicilio,,,Español,Película,1,,
427,Kikou Shoujo wa Kizutsukanai,Unbreakable Machine Doll,,Japonés,12,1,,
428,Kill la Kill,,,Japonés,24,2,,
429,Kimagure Orange Road,,,Japonés,,3,,
430,Kimi ga nozomu eien Next Season + Akane Maniax,,Segunda Temporda y Spin-off,Japonés,3 + 4,1,,
431,Kimi ga Nozumu Eien,Kiminozo | Rumbling Hearts,Primera Temporada,Japonés,14,1,,
432,Kimi ni Todoke,,Primera Temporada,Japonés,25,2,,
433,Kimi ni Todoke 2nd,,Segunda Temporada,Japonés,13,1,,
434,Kimi no iru machi,,,Japonés,12 + 2 OVA,1,,
435,"King of Fighter Another Day, The",,,Japonés,4,1,,
436,"King of Pigs, The",,,Japonés,Película,1,,
437,King of Thron,,,Japonés,Película,1,,
438,Kingdom,,Primera Temporada,Japonés,38,3,,
439,Kiseijuu: Sei no Kakuritsu,,,Japonés,25,2,,
440,KissXSis,,Segunda Temporada,Japonés,12,1,,
441,KissXSis OVAS,,Primera Temporada,Japonés,10,1,,
442,Kitakubu Katsudou Kiroku,,,Japonés,12,1,,
443,Kobato,,,Japonés,24,2,,
444,K-ON!,,Primera Temporada,Japonés,13,1,,
445,K-ON! Movie,,Película,Japonés,Película,1,,
446,K-ON!!,,Segunda Temporada,Japonés,26,2,,
447,Kore wa Zombie desu ka?,,,Japonés,12,1,,
448,Kore wa Zombie desu ka? Of DEATH,,,Japonés,11 + OVA 00,1,,
449,"Kumou no Mukou, Yakusoku no Basho",The place promised in our early days,,Japonés,Película,1,,
450,Kurogane no Linebarrels,,,Japonés,24,2,,
451,Kurokami,,,Japonés,24,2,,
452,Kuroko no Basuke,The Basketball which Kuroko plays,Primera temporada,Japonés,25,2,,
453,Kuroko no Basuke 2nd,The Basketball whick Kuroko Plays,Segunda Temporada,Japonés,13,1,,
454,Kuroko no Basuke 3rd Season,,Tercera Temporada,Japonés,25,2,,
455,Kuroshitsuji,Black Butler,Primera temporada,Japonés,24,2,,
456,Kuroshitsuji II,Black Butler,Segunda Temporada,Japonés,12 + 2 OVA,1,,
457,Kuroshitsuji II OVAS,Black Butler,Segunda Temporada OVAS,Japonés,5 OVA + 4 Extras,1,,
458,Kuroshitsuji Live Action,Black Butler,Película,Japonés,Película,1,,
459,Kuroshitsuji: Book of Murderer,,Cuarta Temporda,Japonés,2,1,,
460,Kyokai no Kanata,,,Japonés,12,1,,
461,Kyousougiga,,,Japonés,10,1,,
462,La Colina de las Amapolas,Kokuriko Zaka Kara,,Japonés,Película,1,,
463,La Corda d'Oro,,Primera Temporada,Japonés,25,2,,
464,La Corda d'Oro Blue Sky,,Tercera Temporada,Japonés,12,1,,
465,La Princesa Mononoke,Mononoke Hime,,Español / Japonés,Película,1,,
466,La Tumba de las Luciernagas,Grave of Fireflies,,Español / Japonés,Película,1,,
467,Las Guerreras Mágicas,Rayearth,,Español / Japonés,49 + 3 OVA,3,,
468,LOCODOL,Futsu no Joshikousei ga LOCODOL yattemita,,Japonés,12,1,,
469,LOG Horizon,,,Japonés,25,2,,
470,LOG Horizon 2,,Segunda Temporada,Japonés,25,1,,
471,Love Hina,,3 Disco con OVAS,Japonés,25,2,,
472,Love Live! School Idol Project,,Primera Temporada,Japonés,13,1,,
473,Love Live! School Idol Project 2,,Segunda Temporada,Japonés,13,1,,
474,Love Stage!!,,,Japonés,10,1,,
475,Loveless,,,Japonés,12 + 6 omakes,1,,
476,Lovely Complex,,,Japonés,24,2,,
477,Lovely Idol,,,Japonés,12,1,,
478,Lucky Star,,,Japonés,24 + OVA,2,,
479,M3 - Sono Kuroki no Hagane,,,Japonés,25,2,,
480,Macross Frontier,,,Japonés,25,2,,
481,Macross Frontier Sayonara no Tsubasa,,Película 2,Japonés,Película,1,,
482,Macross Zero,,,Japonés,5,1,,
483,Madan no Ou to Vanadis,,,Japonés,26,1,,
484,Magi - The Kingdom of Magic,,Segunda Temporada,Japonés,25,2,,
485,Magi - The Labyrinth of Magic,,Primera Temporda,Japonés,25,2,,
486,Mahou Sensou,,,Japonés,12,1,,
487,Mahou Shoujo Madoka Magica,Puella Magi Madoka Magica,,Japonés,12,1,,
488,Mahou Shoujo Madoka Magica Movie 1,Beginnings,Primera Película,Japonés,Película,1,,
489,Mahou Shoujo Madoka Magica Movie 2,Eternal,Segunda Película,Japonés,Película,1,,
490,Mahou Shoujo Madoka Magica Movie 3,Rebellion,Tercera Película,Japonés,Película,1,,
491,Mahouka Koukou no Rettousei,,,Japonés,26,2,,
492,Maji de Watashi na Koi shinasai,,,Japonés,12,1,,
493,Majin Bone,,,Japonés,26,2,,
494,Maken-ki!,,Primera Temporada,Japonés,12 + OVA,1,,
495,Maken-ki! Two,,Segunda Temporada,Japonés,12,1,,
496,Mangaka-san to Assistant-san to,,,Japonés,12,1,,
497,Maoyuu Maou Yuusha,,,Japonés,12,1,,
498,Mardock Scramble,,,Japonés,3 Películas,3,,
499,Marginal Princess,,,Japonés,13,1,,
500,Maria Holic,,,Japonés,12,1,,
501,Maria Holic Alive,,,Japonés,12,1,,
502,Maria-sama ga Mitteru,,Serie Completa con OVAS,Japonés,44 + 29 omakes,4,,
503,Marmalade Boy,,4 Temporadas,Español,76 + Película,3,,
504,Mayo Chiki,,,Japonés,12,1,,
505,Mazinger Z,,,Español,92 + Película,5,,
506,Mazinkaiser SKL,,,Japonés,3,1,,
507,Medabots,,,Español,39,3,,
508,Medaka Box,,Primera Temporada,Japonés,12,1,,
509,Medaka Box Abnormal,,Segunda Temporada,Japonés,12,1,,
510,Meganebu!,,,Japonés,12,1,,
511,Meine Liebe,,Primera Temporada,Japonés,13,1,,
512,Meine Liebe Wieder,,Segunda Temporada,Japonés,13,1,,
513,Mekaku City Actors,,,Japonés,13,1,,
514,Mermaid Forest,,,Japonés,13,1,,
515,Mew Mew Power,Tokyo Mew Mew,,Japonés,52,4,,
516,Mi vecino Totoro,Tonari no Totoro,,Español / Japonés,Película,1,,
517,Midori,,,Japonés,Película,1,,
518,Midori no Hibi,,,Japonés,13,1,,
519,"Mikami, la caza fantasmas",Ghost Sweeper Mikami,,Español,45 + Película,4,,
520,Minami- ke,,Primera Temporada,Japonés,13,1,,
521,Minami-ke Okaeri,,Tercera Temporada,Japonés,13,1,,
522,Minami-ke Okawari,,Segunda Temporda,Japonés,13,1,,
523,Minami-ke Tadaima,,Cuarta Temporda,Japonés,13,1,,
524,Miracle train,,,Japonés,13,1,,
525,Mirai Nikki,,,Japonés,26,2,,
526,Mirmo Zibang!,,,Español,172,9,,
527,Mitsudomoe,,Primera Temporada,Japonés,14,1,,
528,Mitsudomoe  Zoryochu,,Segunda Temporada,Japonés,8,1,,
529,MM!,,,Japonés,12+ 6 especiales + 3 omake,1,,
530,Mnemosyne,,,Japonés,6,1,,
531,Momo Kyun Sword,,,Japonés,12,1,,
532,Mondaiji-tachi ga Isekai Kara Kuru Sou desu yo,,,Japonés,10,1,,
533,Monochrome Factor,,,Japonés,24,2,,
534,Monogatari Series - Second Season,,"Cuarta Temporada, para secuela vease Nekomonogatari",Japonés,26,2,,
535,Monster,,,Japonés,74,3,,
536,Monster Rancher,,,Español,73,4,,
537,Mouretsu Pirates,,,Japonés,26,2,,
538,Murder Princess,,,Japonés,6,1,,
539,Mushi-shi,,Primera Temporda,Español,26,2,,
540,Muv-Luv Total Eclipse,,,Japonés,24,2,,
541,Mythical Detective Loki Ragnarok,,,Español / Inglés / Japonés,26,2,,
542,Nabari no Ou,,,Japonés,26,2,,
543,Nagi no asukara,,,Japonés,26,2,,
544,Naruto,,,Japonés,220,11,,
545,NARUTO (Español),,,Español,220,11,,
546,Naruto Movies 1,,Película 1 - El rescate de la Princesa de la Nieve | Película 2: Las ruinas ilusorias en el fondo de la tierra,Japonés,2 Películas + 4 Ova,1,,
547,Naruto Movies 2,,Película 3  :Panico animal en la isla de la luna creciente | Película 4: La muerte de Naruto,Japonés,2 Películas,1,,
548,Naruto Movies 3,,Película 5: Lazos | Película 6: La voluntad del fuego sigue ardiendo,Japonés,2 Películas,1,,
549,Naruto Movies 4,,Película 7: La torre Perdida (Lost Tower),Japonés,Película,1,,
550,Naruto Movies 5,,Película 8: Prision de Sangre (Blood Prision),Japonés,Película,1,,
551,Naruto Movies 6,,Película 9: Road to ninja (Camino Ninja),Japonés,Película,1,,
552,Naruto Movies 7,The Last,Película,Japonés,Pelicuka,1,,
553,Naruto Shippuden,,,Japonés,370/??,19,,
554,Natsume Yuujin Chou,,Primera Temporada,Japonés,13,1,,
555,"Natsume Yuujin Chou, Zoku",,Segunda Temporada,Japonés,13,1,,
556,Natsume Yuujinchou Shi,,Cuarta Temporada,Japonés,13,1,,
557,Natsume Yuujn Chou San,,Tercera Temporada,Japonés,13,1,,
558,Natsuyuki Rendezvous,,,Japonés,11,1,,
559,Nausicaa del Valle del Viento,,,Español / Japonés,Película,1,,
560,Needless,,,Japonés,24,2,,
561,Negima,,Tercer disco con OVAs,Japonés,26 + 7 OVAS,3,,
562,Nekomonogatari,,"Tercera Temporada, Para segunda temporada vease Nisemonogatari",Japonés,4,1,,
563,Neo Angelique Abyss,,Primera Temporda,Japonés,13,1,,
564,Neo Angelique Abyss - Second Age,,Segunda Temporda,Japonés,13,1,,
565,Neppu Kairiku Bushi Road,,,Japonés,Película,1,,
566,Ninja resurrection,,,Español / Inglés,Película,1,,
567,Ninja Scroll,,,Español / Inglés / Japonés,Película,1,,
568,Nisekoi,,,Japonés,12,1,,
569,Nisekoi S2,,Segunda Temporada,Japonés,3 OVA + 12,1,,OVAS de la Temporada 1
570,Nisemonogatari,,"Segunda Temporada, para primera temporada vease Bakemonogatari",Japonés,11,1,,
571,"No Game, No Life",,,Japonés,12,1,,
572,No. 6,,,Japonés,11,1,,
573,Nobunaga the Fool,,,Japonés,25,2,,
574,Nobunagun,,,Japonés,13,1,,
575,Nodame Contabile Paris-hen,,,Japonés,11,1,,
576,Nogizaka Haruka no Himitsu,,Primera Temporda,Japonés,12,1,,
577,Noragami,,,Japonés,13,1,,
578,"Nube, el maestro del infierno",Jigoku Sensei Nube,,Japonés,48,3,,
579,Nyan koi!,The Nyan koi show,,Japonés,12,1,,
580,Nyanpire,,,Japonés,12,1,,
581,Oda Nobuna no Yabou,,,Japonés,12,1,,
582,Omamori Himari,,,Japonés,12,1,,
583,One Outs,,,Japonés,25,2,,
584,One Piece,,,Japonés,650/??,25,,
585,One Piece 3DY2,,,Japonés,Película,1,,
586,One Piece Dream 9,,Dream 9: GokuXLuffyXToriko | Especial de Nami | Especial de Luffy,Japonés,4 Especiales,1,,
587,One Piece Especiales y OVAs,,,Japonés,9,1,,
588,One Piece Movies,,,Japonés,12 Películas,7,,
589,Oneechan ga kitta,,,Japonés,12 + OVA,1,,
590,Onegai Teacher!,,,Japonés,13,1,,
591,Onegai Twins!,,,Japonés,13,1,,
592,Only Yesterday,Omohide Poro Poro,,Español / Japonés,Película,1,,
593,Ookami kakushi,,,Japonés,12,1,,
594,Ookami shoujo to Kuro Ouji,,,Japonés,12,1,,
595,Ookami-san to shichinin no nakamatachi,Ookami-san and her seven companions,,Japonés,12,1,,
596,Ore no Imouto ga Konna Kawaii wake ga nai,Oreimo,Primera Temporada,Japonés,13 + OVA,1,,
597,Ore no Imouto ga Konna Kawaii wake ga nai 2,Oreimo,Segunda Temporada,Japonés,13,1,,
598,Ore no kanojo to osanajimi ga shuraba sugiru,,,Japonés,12,1,,
599,Ore no Nounai Sentakushi ga Gakuen Love-Comedy wo Zenryoku de Jama Shiteiru,NOUCOME,,Japonés,10,1,,
600,Ore Twintail ni Narimasu,,,Japonés,12,1,,
601,Orenchi no Furo Jijou,,,Japonés,12,1,,
602,Oretachi wa Tsubasa wa nai,Under the innocent sky,,Japonés,12,1,,
603,Otome Youkai Zakuro,,,Japonés,13,1,,
604,Ouran Highschool Host Club,,,Japonés,26,2,,
605,Over Drive,,,Japonés,26,2,,
606,Pandora Hearts,,,Japonés,25 + 6 oamkes,2,,
607,Panty and Stocking with Garterbelt,,,Japonés,13 + OVA,1,,
608,Papa no iu koto wo kikinasai,Papakiki,,Japonés,26,1,,
609,Papa to kiss in the Dark,,,Japonés,2,1,,
610,Paprika,,,Español / Inglés / Japonés / Otros,Película,1,,
611,Paradise Kiss,,,Japonés,12,1,,
612,Paranoia Agent,,,Japonés,13,1,,
613,Parasite Dolls,,,Español / Inglés,Película,1,,
614,Patlabor - Policia Especial,,,Español,47,3,,
615,Perfect Blue,,,Español / Japonés,Película,1,,
616,Persona 4 - The Animation,,,Japonés,25,2,,
617,Persona Trinity Soul,,,Japonés,26,2,,
618,Petshop of Horrors,,,Japonés,4,1,,
619,Photo Kano,,,Japonés,12,1,,
620,Pokemon 16 - Diancie y la Crisalida de la Destrucción,,Película 16,Japonés,Película,1,,
621,Pokemon M01 - Mew vs Mew Two,,Mew/Mew Two,Español / Inglés / Japonés,Película,1,,
622,Pokemon M02 - La Pelicula 2000,,Lugia/articuno/Moltres/Zapdos,Español / Inglés / Japonés,Película,1,,
623,Pokemon M03 - El secreto de los Unknown,,Entei,Español / Inglés / Japonés,Película,1,,
624,Pokemon M04 - Celebi y la Voz del Bosque,,Celebi/Suicune,Español / Inglés / Japonés,Película,1,,
625,Pokemon M05 - Heroes,,Latios/Latias,Español / Inglés / Japonés,Película,1,,
626,Pokemon M07 - El Destino de Deoxys,,Deoxys,Español / Inglés / Japonés,Película,1,,
627,Pokemon M08 - Lucario y el Misterio de Mew,,Lucario/Mew,Español / Inglés / Japonés,Película,1,,
628,Pokemon M09 - Ranger y el Templo del Mar,,,Español / Inglés / Japonés,Película,1,,
629,Pokemon M11 - Giratina y el Defensor de los Cielos,,Giratina/Shaymin,Español / Inglés / Japonés,Película,1,,
630,Pokemon M12 - Arceus y la Joya de la Vida,,Arceus/Dialga/Palkia/Giratina,Español / Inglés / Japonés,Película,1,,
631,Pokemon M13 - Zoroark el Maestro de las Ilusiones,,Zoroark,Español / Inglés / Japonés,Película,1,,
632,Pokemon M14 - Black and White,,Victiny/Zekrom/Reshiram,Español / Japonés,Película,1,,
633,Pokemon M15 - Kyurem vs La espada de la Justicia,,Kyurem/Keldeo,Japonés,Película,1,,
634,Pokemon Origins,,,Español / Japonés,4,1,,
635,Pokemon T1,,,Español,82,4,,
636,Pokemon T10,,Temporada 10,Español,51,3,,
637,Pokemon T2,,,Español,36,2,,
638,Pokemon T3,,,Español,41,2,,
639,Pokemon T4,,,Español,52,3,,
640,Pokemon T5,,,Español,65,4,,
641,Pokemon T6,,,Español,40,3,,
642,Pokemon T7,,,Español,52,3,,
643,Pokemon T8,,,Español,52,4,,
644,Pompoko,,,Español / Japonés,Película,1,,
645,Ponyo en el Acantilado,,,Español / Japonés,Película,1,,
646,Porco Rosso,,,Español / Japonés,Película,1,,
647,"Portrait de la Petit Cossette, Le",,,Japonés,3,1,,
648,Princess Lover,,,Japonés,12,1,,
649,Princess Lover Omakes,,,Japonés,2 OVA + 18 Especiales,1,,
650,Princess Princess,,,Japonés,12,1,,
651,Psycho-Pass,,Primera Temporada,Japonés,22,2,,
652,Psycho-Pass 2,,Segunda Temporada,Japonés,11,1,,
653,Puedo escuchar el mar,Umi ga kikoeru,,Español / Japonés,Película,1,,
654,Pulgarcita,,,Español,Película,1,,
655,Pupipo,,,Japonés,15,1,,
656,Queens Blade - Gyokuza wo Tsugumono,,Segunda Temporada,Japonés,12,1,,
657,Queens Blade - Rebellion,,Cuarta Temporada,Japonés,12,1,,
658,Queens Blade - Rurou no Senshi,,Primera Temporada,Japonés,6 OVA + 12 omake,1,,
659,Queens Blade - Utsukushiki Toushi-tachi,,Tercera Temporada,Japonés,12,1,,
660,R-15,,,Japonés,12,1,,
661,Ragnarok,,,Japonés,26,2,,
662,RAINBOW Niwa shichi-nin no nakamatachi,RAINBOW,,Japonés,26,2,,
663,Ranma 1/2,,,Español,161,9,,
664,Ranma 1/2 OVAS,,,Japonés,13,1,,
665,Ranma 1/2 Peliculas,,,Español,2,1,,
666,Ray - the Animation,,,Japonés,13,1,,
667,Red Line,,,Japonés,Película,1,,
668,Requiem for the Phantom,,,Japonés,26,1,,
669,Revolutionary Girl Utena,Seishojo Ryouki Utena,,Japonés,39,2,,
670,Revolutionary Girl Utena Movie,,,Japonés,Película,1,,
671,Rinne no Lagrange,,Primera temporada,Japonés,12,1,,
672,Rinne no Lagrange Season 2,,SegundaTemporada,Japonés,12,1,,
673,Robotech,,,Japonés,85,5,,
674,Robotech Movies,,,Japonés,,1,,
675,Rokujouma no Shinryakusha!,,,Japonés,12,1,,
676,Romeo X Juliet,,,Japonés,24,2,,
677,Rosario to Vampire,,,Japonés,13,1,,
678,Rosario to Vampire CAPU2,,,Japonés,13,1,,
679,Rozen Maiden,,Primera temporada,Japonés,12,1,,
680,Rozen Maiden Overture,,Tercera Temporada,Japonés,2,1,,
681,Rozen Maiden Traumend,,Segunda Temporada,Japonés,12,1,,
682,Rozen Maiden Zuruckspulen,,Cuarta Temporada,Japonés,13,1,,
683,Ryuugajou Nanana no Maizoukin,Nanana's Buried Treasure,,Japonés,13,1,,
684,Saikano,Mi novia el arma definitiva,,Japonés,13 + 2 OVA,1,,
685,Saikano (Español),Mi novia El arma Definitiva,,Español,13 + 2 OVA,1,,
686,Saikano Live Action,Mi novia el arma definitiva,,Japonés,Película,1,,
687,Saikin Imouto no Yousu ga Chotto Okashinda ga,,,Japonés,13,1,,
688,Sailor Moon,,,Español,200,15,,
689,Sailor Moon Movies,,,Español,3,1,,
690,Saint Seiya - Asgard,,,Español / Japonés,27,3,,
691,Saint Seiya - Doce Casas,,,Español / Japonés,34,3,,
692,Saint Seiya - El Lienzo Perdido,Saint Seiya Lost Canvas,,Español / Japonés,26,2,,
693,Saint Seiya - Hades,,,Español / Japonés,31,3,,
694,Saint seiya - Poseidon,,,Español / Japonés,15,2,,
695,Saint Seiya - Torneo Galactico,Los Caballeros del Zodiaco,Primera Temporada,Español / Japonés,39,3,,
696,Saint Seiya Movies,,,Español / Japonés,5,1,,
697,Saint Seiya Omega,,,Japonés,97,8,,
698,Saint Seiya: Legend of Sanctuary,Los Caballeros del Zodiaco: La Leyenda del Santuario,,Español / Japonés,Película,1,,
699,Saint Tail,,,Español,43,3,,
700,"Sakura, Card Captor",,,Español,70,4,,
701,"Sakura, Card Captor M1",,,Español / Japonés,Película,1,,
702,"Sakura, Card Captor M2",,,Español / Japonés / Portugués,Película,1,,
703,Sakurasou no Pet na kanojo,,,Japonés,24,2,,
704,Samurai 7,,,Español / Japonés,26,2,,
705,Samurai Champloo,,,Español / Japonés,26,2,,
706,Samurai Flamenco,,,Japonés,25,2,,
707,Samurai X,Rurouni Kenshin,,Español,95,5,,
708,Samurai X - Movie,Rurouni Kenshin Ishi Shishi e no Requiem,,Español / Japonés,Película,1,,
709,Samurai X - Remembranzas,Rurouni Kenshin Tsuiokuhen | Seisouhen,,Japonés,5,1,,
710,"Sandybell, Hola",,,Español,47,2,,
711,Sankarea,,,Japonés,12 + OVA,1,,
712,Sanzoku no Musume Ronja,,,Japonés,26,2,,
713,Sasami-san@Ganbarenai,,,Japonés,12,1,,
714,Sayonara Zetsubou sensei,,Tres temporadas,Japonés,38 + 5 OVA,3,,
715,School Days,,,Japonés,12,1,,
716,School Rumble,,Primera Temporada,Japonés,26,2,,
717,School Rumble Nii Gakki | San Gakki,,Segunda y Tercera Temporada,Japonés,26 + 2,2,,
718,Seikoku no Dragonar,,,Japonés,13,1,,
719,Seikon no Qwaser,Qwaser of the Stigmata,,Japonés,24 + OVA,2,,
720,Seikon no Qwaser II,Qwaser of the Stigmata II,,Japonés,12,1,,
721,Seirei Tsukai no Blade Dance,,,Japonés,12,1,,
722,Seirei Tsukai no World Dance,,,Japonés,13,1,,
723,Sekai Seifuku - Bouryaku no Zvezda,,,Japonés,13,1,,
724,Sekaiichi Hatsukoi,,Primera Temporada,Japonés,12 + 2 especiales,1,,
725,Sekaiichi Hatsukoi - Yokozawa Takafumi no Baai,,Película,Japonés,Película,1,,
726,Sekaiichi Hatsukoi 2,,Segunda Temporada,Japonés,12,1,,
727,Sekirei,,Primera Temporada,Japonés,12 + OVA,1,,
728,Sekirei Pure Engagement,,Segunda Temporada,Japonés,13 + Especial,1,,
729,Selector Infected WIXOSS,,,Japonés,13,1,,
730,Sengoku no Basara,,Primera Temporada,Japonés,12,1,,
731,Sengoku no Basara 2,,Segunda Temporada,Japonés,12,1,,
732,Sengoku Otome Momoiro Paradox,,,Japonés,13,1,,
733,Seraph of the End,Owari no Seraph,,Japonés,24,2,En emisión,
734,Serial Experiments LAIN,,,Japonés,13,1,,
735,Shakugan no Shana,,Primera Temporada,Japonés,24 + Película,2,,
736,Shakugan no Shana II Second,,Segunda Temporada,Japonés,24 + 5 OVA,2,,
737,Shakugan no Shana III Final,,Tercera Temporada,Japonés,24,2,,
738,Shaman King,,,Español,64,4,,
739,Shigatsu wa kimi ga uso,,,Japonés,22,2,,
740,Shigurui,,,Japonés,12,1,,
741,Shiki,,,Japonés,22,2,,
742,Shingeki no Bahamut,,,Japonés,12,1,,
743,Shingeki no Kyojin,Attack of Titans,,Japonés,25,2,,
744,Shingeki no Kyojin OVAS,,,Japonés,,,,
745,Shingetsutan Tsukihime,,,Español / Japonés,12,1,,
746,Shining Hearts,,,Japonés,12,1,,
747,Shinrei Tantei Yakumo,,,Japonés,13,1,,
748,Shirogane no Ishi Argevollen,,,Japonés,25,2,,
749,Shounen Hollywood - Holly Stage 49,,,Japonés,13,1,,
750,Silver Spoon,Gin no Saji,Primera Temporada,Japonés,11,1,,
751,Silver Spoon 2nd,Gin no Saji 2nd,Segunda Temporada,Japonés,11,1,,
752,Sket Dance,,,Japonés,77,6,,
753,Skip Beat,,,Japonés,25,2,,
754,Slam Dunk,,,Español,102 + OVA,4,,
755,So Ra No Wo To,,,Japonés,12,1,,
756,Sokyuu no Fafner,Dead agressor,,Japonés,25,2,,
757,SOLA,,,Japonés,13 + 2 especiales,1,,
758,Sora no Method,,,Japonés,13,1,,
759,Sora no Otoshimono,,Primera Temporada,Japonés,13 + OVA,1,,
760,Sora no Otoshimono Final,,Segunda Película,Japonés,Película,1,,
761,Sora no Otoshimono Forte,,Segunda Temporada,Japonés,12,1,,
762,Sora no Otoshimono Tokei Jikake no angeloid,,Película,Japonés,Película,1,,
763,Sore Demo Sekai wa Utsukushii,Still world is beautiful,,Japonés,13,1,,
764,Soul Eater,,,Japonés,51,4,,
765,Soul Eater Not!,,Spin-off,Japonés,12,1,,
766,Speed Grapher,,No apto para menores de 15 años,Español,24,2,,
767,Star Driver,,,Japonés,25,2,,
768,STEAMBOY,,,Español / Japonés,Película,1,,
769,Steins;Gate,Steins Gate,,Japonés,24 + OVA,2,,
770,Strawberry Panic!,,,Japonés,26,2,,
771,Street Fighter II,,,Español,29,2,,
772,Street Fighter Movies,,Películas,Español / Japonés,4,1,,
773,Strike The Blood,,,Japonés,24,2,,
774,Suisei no Gargantia,,,Japonés,,1,,
775,Sukisyo,Suki na mono wa suki dakara shouganai,Shonen-ai,Japonés,12 + OVA,1,,
776,Sukitte iinayo,,,Japonés,13,1,,
777,Summer Wars,,,Japonés,Película,1,,
778,Sumomomo momomo,,,Japonés,22 + 2 OVA,2,,
779,Super Campeones,,Primera Temporada,Español,128,7,,
780,Super Campeones J,,Segunda Temporada,Español,46,3,,
