ID,TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
125,CLANNAD After Story,,,Japonés,24 + OVA,2,Drama / Romance / Slice of life / Harem,
126,CLANNAD La Pelicula,,,Japonés,Película,1,Drama / Romance / Slice of life / Harem,
127,Claymore,,,Japonés,26,2,,
128,Code Breaker,,,Japonés,13,1,Acción / Slice of life / Sobrenatural,
129,Code Geass,,,Japonés,25,2,,
130,Code Geass R2,,,Japonés,25,2,,
131,Colorfull,,,Japonés,Película,1,,
132,Coppelion,,,Japonés,13,1,,
133,Corpse Party,,Tortured souls + Missing Footage,Japonés,5,1,,
134,Cowboy Beebop,,Serie,Español / Inglés / Japonés,26,2,,
135,Cowboy Beebop Knockin'on Heaven's Door,,Película,Español / Japonés,Película,1,,
136,Cross Ange Tenshi to Ryu no Rondo,,,Japonés,25,1,,
137,CubeXCursedXCurious,C3,,Japonés,13,1,,
138,Cuentos de Terramar,Gedo Senki,,Español / Japonés,Película,1,,
139,Cyborg 009,,,Español,50,4,Sci-Fi / Acción / Aventura,
140,D. Gray-man,,,Japonés,103,6,,
141,Da Capo,D.C.,Primera Temporada,Japonés,26,2,Drama / Romance / Slice of life,
142,Da Capo II,D.C. II,Tercera Temporada,Japonés,13,1,Drama / Romance / Slice of life,
143,Da Capo II Second Season,D.C. II S.S.,Cuarta Temporada,Japonés,13,1,Drama / Romance / Slice of life,
144,Da Capo Second Season,D.C. S.S.,Segunda Temporada,Japonés,26,2,Drama / Romance / Slice of life,
145,Daitoshokan no Hitsujikai,,,Japonés,12,1,,
146,Dakara Boku wa H ga Dekinai,,,Japonés,12,1,,
147,Dance in the Vampire Bund,,,Japonés,12 + Especial,1,,
148,Danganronpa The animation,,,Japonés,13,1,,
149,Danna ga nani wo Itteiru ka Wakaranai Ken,,,Japonés,13,1,,
150,Dantalian no Shoka,Biblioteca Mistica de Dantalian,,Japonés,13,1,,
151,Dante's Inferno,El Infierno de Dante,,Español / Inglés,Película,1,,
152,Darker than Black,,Primera Temporada,Japonés,25 + OVA,2,,
153,Darker than Black Gemini of the Meteor,,Segunda Temporada,Japonés,12,1,,
154,Darker than Black Kuro no Keiyakusha: Gaiden,,Tercera Temporada,Japonés,12,1,,
155,Date A Live,,Primera Temporada,Japonés,12,1,,
156,Date A Live II,,Segunda Temporada,Japonés,10,1,,
157,Dead Space,,,Español,Película,1,,
158,Deadman Wonderland,,,Japonés,12,1,,
159,Dear Boys,,,Español,26,2,Deportes / Slice of life,
160,DearS,,,Japonés,13,1,,
161,Death Note,,,Español / Japonés,37,3,,
162,Death Note R: Relight La Visión de un Dios,,Película 1,Español / Japonés,Película,1,,
163,Death Note: Live Action,,Películas con actores humanos.,Japonés,3 Películas,1,,
164,Death Parade,,OVA Original Death Billiard + Serie,Japonés,12 + Especial,1,,
165,Demashitta Power Puff Girls Z,Las chicas super poderosas Z,,Español,52,3,,
166,Denpa Teki na Kanojo,,,Japonés,2,1,,
167,Denpo Onna to Seishun Otoko,,,Japonés,12,1,,
168,Detroit Metal City,,,Japonés,12,1,,
169,Detroit Metal City Live Action,,,Japonés,Película,1,,
170,Devil May Cry,,,Inglés / Japonés,12,1,,
171,Devil Survivor 2,,Temporada Unica,Japonés,13,1,,
172,Devilman,,,Japonés,39,2,,
173,Devilman Live Action,,,Japonés,Película,1,,
174,Devilman OVAs,,,Japonés,3,1,,
175,Devils and Realist,Makai Ouji - Devils and Realist,,Japonés,12,1,,
176,D-Fragments,,,Japonés,12,1,,
177,Diabolik Lovers,,,Japonés,14,1,,
178,Digimon,Digimon Adventures,Primera Temporada,Español,54,3,,
179,Digimon 02,,Segunda Temporada,Español,50 + Especial,3,,
180,Digimon Adventures Movies,,Primera Temporada Películas,Español / Japonés,2 Películas,1,,
181,Digimon Frontier,,Cuarta temporada,Español,50,4,,
182,Digimon Savers,,,Español,52,3,,
183,Digimon Tamers,,Tercera Temporada,Español,51,4,,
184,DN Angel,,,Japonés,26,2,,
185,Donten ni Warau,,,Japonés,12,1,,
186,Dragon Ball,,Primera Temporada,Español,153,5,,
